Orchard,Year,Sex,Clone,Tree,X,Y,Month,Day,Phenophase,Page
220,2008,MALE,1592,,M,45,6,9,0,34
220,2008,FEMALE,1592,,M,45,6,9,0,34
220,2008,MALE,1592,,AA,25,6,9,0,34
220,2008,FEMALE,1592,,AA,25,6,9,0,34
220,2008,MALE,1475,,F,8,6,9,0,34
220,2008,FEMALE,1475,,F,8,6,9,0,34
220,2008,MALE,1475,,CC,35,6,9,0,34
220,2008,FEMALE,1475,,CC,35,6,9,0,34
220,2008,MALE,1597,,R,5,6,9,0,34
220,2008,FEMALE,1597,,R,5,6,9,0,34
220,2008,MALE,1597,,J,2,6,9,0,34
220,2008,FEMALE,1597,,J,2,6,9,0,34
220,2008,MALE,1481,,Q,43,6,9,0,34
220,2008,FEMALE,1481,,Q,43,6,9,0,34
