SPU_Number,SPU_Name,SPU_Name_Long,Long_Site,Site,Orchard,Repro_Data,Elev_Min,Elev_Max
7,Nelson Low,Nelson Low (700-1600 m),MFLNRO (Kalamalka),Kalamalka,307,5,700,1600
7,Nelson Low,Nelson Low (700-1600 m),PRT (Grandview),PRT,313,3,700,1600
7,Nelson Low,Nelson Low (700-1600 m),PRT/SelectSeed,PRT,337,,700,1600
7,Nelson Low,Nelson Low (700-1600 m),MFLNRO (Kalamalka),Kalamalka,347,NA,700,1600
10,Thompson Okanagan Low,Thompson Okanagan Low (700-1400 m),PRT,PRT,308,1,700,1400
10,Thompson Okanagan Low,Thompson Okanagan Low (700-1400 m),PRT,PRT,311,3,700,1400
10,Thompson Okanagan Low,Thompson Okanagan Low (700-1400 m),PRT/SelectSeed,PRT,338,2,700,1400
10,Thompson Okanagan Low,Thompson Okanagan Low (700-1400 m),MFLNRO (Skimikin),Skimikin,350,NA,700,1400
12,Prince George Low,Prince George Low (700-1400 m),MFLNRO (PGTIS),PGTIS,220,15,700,1400
12,Prince George Low,Prince George Low (700-1400 m),VSOC (Quesnel),Quesnel,222,,700,1400
12,Prince George Low,Prince George Low (700-1400 m),VSOC (Vernon),Vernon,222,2,700,1400
12,Prince George Low,Prince George Low (700-1400 m),VSOC/SelectSeed,Vernon,236,,700,1400
12,Prince George Low,Prince George Low (700-1400 m),KRSO/SelectSeed,KettleRiver,237,2,700,1400
12,Prince George Low,Prince George Low (700-1400 m),MFLNRO (Skimikin),Skimikin,352,NA,700,1400
16,Thompson Okanagan High,Thompson Okanagan High (1400-1600 m),Tolko (Eagle Rock),Tolko,310,1,1400,1600
16,Thompson Okanagan High,Thompson Okanagan High (1400-1600 m),Tolko/SelectSeed,Tolko,339,2,1400,1600
17,Bulkley Valley Low,Bulkley Valley Low (700-1400 m),VSOC (Quesnel),Quesnel,219,,700,1400
17,Bulkley Valley Low,Bulkley Valley Low (700-1400 m),VSOC (Vernon),Vernon,219,1,700,1400
17,Bulkley Valley Low,Bulkley Valley Low (700-1400 m),MFLNRO (PGTIS),PGTIS,228,15,700,1400
17,Bulkley Valley Low,Bulkley Valley Low (700-1400 m),MFLNRO (Kalamalka),Kalamalka,230,5,700,1400
17,Bulkley Valley Low,Bulkley Valley Low (700-1400 m),VSOC/SelectSeed,Vernon,234,1,700,1400
17,Bulkley Valley Low,Bulkley Valley Low (700-1400 m),Sorrento/SelectSeed,Sorrento,240,2,700,1400
18,Central Plateau Low,Central Plateau Low (700-1300 m),FLNR (PGTIS),PGTIS,210,,700,1300
18,Central Plateau Low,Central Plateau Low (700-1300 m),VSOC,Vernon,218,1,700,1300
18,Central Plateau Low,Central Plateau Low (700-1300 m),VSOC (Quesnel),Quesnel,218,,700,1300
18,Central Plateau Low,Central Plateau Low (700-1300 m),FLNR (PGTIS),PGTIS,223,14,700,1300
18,Central Plateau Low,Central Plateau Low (700-1300 m),KRSO/SelectSeed,KettleRiver,238,,700,1300
18,Central Plateau Low,Central Plateau Low (700-1300 m),Sorrento/SelectSeed,Sorrento,241,,700,1300
20,Nelson High,Nelson High (1600-2000 m),MFLNRO (Skimikin),Skimikin,349,NA,1600,2000
26,Prince George High,Prince George High (1400-2000 m),,,NA,NA,1400,2000
29,East Kootenay High,East Kootenay High (1500-2000 m),,,NA,NA,1500,2000
32,East Kootenay Low,East Kootenay Low (800-1500 m),MFLNRO (Kalamalka),Kalamalka,340,1,800,1500
45,Big Bar/Chilcotin,Big Bar/Chilcotin (All elevations),,,NA,NA,NA,NA
